rank,scenario,target,status,matched_samples,fused_samples_total,mean_error_3d_m,median_error_3d_m,p95_error_3d_m,max_error_3d_m,rmse_3d_m,mean_error_xy_m,median_error_xy_m,mean_abs_error_z_m,median_abs_error_z_m,reason
1,radar1,Vysavac3,ok,1033,1033,0.19886901535905,0.1829697495216319,0.3295476967178218,2.469670905507888,0.23437725208475782,0.14777260233710585,0.13947768607920516,0.10311011697563259,0.07883747272954844,
2,2x_radar,Vysavac3,ok,7572,7572,0.2194627110250831,0.16339851527591942,0.34588070435986235,2.49449571435534,0.37072570932000365,0.19827531648053978,0.14331736841387374,0.0667734034066603,0.05483674317947074,
3,fusion,Vysavac3,ok,12529,14439,0.2671795793475538,0.1597724589513295,0.8705408205000066,3.2010673761888317,0.4063242877868517,0.23875966876574795,0.12657827182801124,0.07984415311527886,0.06527913764928184,
4,radar2_2x_ble,Vysavac3,ok,12529,14439,0.2801841576687312,0.17855174409394142,0.8865878730666666,3.2010673761888317,0.41507828056151747,0.24955741453047683,0.14126382794074627,0.08567297898952862,0.0718171260260474,
5,radar2,Vysavac3,ok,5345,5345,0.268434464636366,0.1949639611989919,0.4731324848381586,2.492834141070642,0.4488540185912727,0.24336843402039313,0.16757822820228985,0.07849066312014864,0.06497602025374016,
6,radar1_2x_ble,Vysavac3,ok,12529,14439,0.37935578254386376,0.2663699759779386,1.0114156101612257,3.2010673761888317,0.5035683132331094,0.3468770394406558,0.22981017521151237,0.09981855884814235,0.083822771398957,
7,2x_ble,Vysavac3,ok,12529,14439,0.3971726481958308,0.2871007620273382,1.019513206032661,3.2010673761888317,0.5179506101119218,0.370125587039016,0.2641880028461212,0.09404090660813814,0.08398632177415499,
