rank,scenario,target,status,matched_samples,fused_samples_total,mean_error_3d_m,median_error_3d_m,p95_error_3d_m,max_error_3d_m,rmse_3d_m,mean_error_xy_m,median_error_xy_m,mean_abs_error_z_m,median_abs_error_z_m,reason
1,2x_radar,Phantom4,ok,9861,9861,0.21880192023339612,0.14038754908914491,0.7963214069634621,2.4614990861593853,0.39710073679189484,0.20290881389034776,0.12540240210471176,0.058535834519762873,0.05085102344453696,
2,radar2,Phantom4,ok,6687,6687,0.22800056407303085,0.14943140406983976,0.7805415779823498,2.460596366058847,0.4104590654760871,0.21119295568145727,0.13286355485917872,0.06221748638332098,0.05190736074459079,
3,fusion,Phantom4,ok,13145,15010,0.2613449076982036,0.13385951767183327,0.9887479046737838,2.0717736233328847,0.419413937764551,0.2120800184310097,0.10806942453416647,0.10499833269729893,0.05725978951175681,
4,radar2_2x_ble,Phantom4,ok,13145,15010,0.2940064412598705,0.1662845690245985,1.020666693086125,2.098856517249397,0.4400266808472085,0.24435043574969434,0.13787720120274946,0.11193804645736809,0.06356549260151989,
5,radar1,Phantom4,ok,1947,1947,0.23900368032127722,0.13098147950846226,1.4327631433545933,2.0643816160828568,0.44256547024629805,0.22037751196659605,0.11140002965746473,0.0585459989045609,0.053802787274274566,
6,radar1_2x_ble,Phantom4,ok,13145,15010,0.4436698287169934,0.3853585860584673,1.0798224291183545,1.9271988762323593,0.5420634882783301,0.3408998005680174,0.24413569975855776,0.20884272124870534,0.11813466233679026,
7,2x_ble,Phantom4,ok,13145,15010,0.5823259732465791,0.5356145782044598,1.1132740235635503,1.7810145852571202,0.6358257059020235,0.39696613472679954,0.32457130529250877,0.35623883440570175,0.3640283827018329,
