rank,scenario,target,status,matched_samples,fused_samples_total,mean_error_3d_m,median_error_3d_m,p95_error_3d_m,max_error_3d_m,rmse_3d_m,mean_error_xy_m,mean_abs_error_z_m,mean_cluster_ray_distance_m,p95_cluster_ray_distance_m,reason
1,2x_radar_ble2,Phantom4,ok,11898,13292,0.6715408704202199,0.16562669742314362,2.906937724961418,4.108620228857222,1.1833474252414207,0.6279594827958559,0.18706870146922844,0.6949830191165447,2.6724564436366296,
2,radar2_ble2,Phantom4,ok,8473,9366,0.713888220302617,0.18242689749173935,2.8072568049770426,4.44367458976757,1.190020594554865,0.6776153320917381,0.16787435360380448,0.6717014028682181,2.4751582914323524,
3,2x_radar_ble1,Phantom4,ok,11905,13298,0.8520170623092631,0.1814920526261883,3.0760749933951175,4.292644131977917,1.3727951260253146,0.8091183948739387,0.19781671830999015,0.6677055659488668,1.339337013717566,
4,radar1_ble1,Phantom4,ok,2971,3463,1.1654017038961402,0.1962537381585858,3.3936577652415565,4.6659525621003874,1.7559298690934588,1.112551923765139,0.25234856980993425,0.9317122299235776,2.638897098312534,
