rank,scenario,target,status,matched_samples,fused_samples_total,mean_error_3d_m,median_error_3d_m,p95_error_3d_m,max_error_3d_m,rmse_3d_m,mean_error_xy_m,mean_abs_error_z_m,mean_cluster_ray_distance_m,p95_cluster_ray_distance_m,reason
1,2x_radar_ble2,Vysavac3,ok,11898,13292,0.9277110627486789,0.2249681255008329,2.656977537899151,5.482662008269477,1.3637092454150737,0.9086098472691432,0.10340078656193503,0.7144013708102078,2.475697599699944,
2,2x_radar_ble1,Vysavac3,ok,11905,13298,0.9843352431568622,0.23191448076094623,2.713672043543596,5.884582312537549,1.4269985730006145,0.9664267451594842,0.10312586857065273,0.625745832898952,1.8249598634023771,
3,radar2_ble2,Vysavac3,ok,8473,9366,0.9952134532867019,0.2581790073122825,2.8099704693588614,5.953945227267489,1.4561165862220802,0.9750681672277156,0.10927507008384264,0.7924139996009167,2.573908310391042,
4,radar1_ble1,Vysavac3,ok,2971,3463,1.4674079817890686,1.626949988208449,2.8549974326460035,6.568103362390223,1.8819923519244648,1.4430462846816736,0.13147412944754122,0.9914409617106026,2.6062894087765356,
